Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0001,El paquete NuGet no es compatible,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MicroWin.csproj,,,Microsoft.UI.Xaml 2.8.7,,,,,"Microsoft.UI.Xaml, 2.8.7  Recomendación:  No se encontró ninguna versión compatible"
Project.0001,El archivo de proyecto debe convertirse al estilo SDK,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MicroWin.csproj,,,,,,,,
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MicroWin.csproj,,,,,,,,"Marco de destino actual: .NETFramework,Version=v4.8 Marco de destino recomendado: net10.0-windows"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""user_creation_settings"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap user_creation_settings
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""user_creation_lusrmgr"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap user_creation_lusrmgr
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,89,12,T:System.Management.ManagementBaseObject,,,,,"isoObject.InvokeMethod(""Dismount"", inParams, null);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,89,12,"M:System.Management.ManagementObject.InvokeMethod(System.String,System.Management.ManagementBaseObject,System.Management.InvokeMethodOptions)",,,,,"isoObject.InvokeMethod(""Dismount"", inParams, null);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,88,12,T:System.Management.ManagementBaseObject,,,,,"using ManagementBaseObject inParams = isoObject.GetMethodParameters(""Dismount"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,88,12,M:System.Management.ManagementObject.GetMethodParameters(System.String),,,,,"using ManagementBaseObject inParams = isoObject.GetMethodParameters(""Dismount"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,87,12,T:System.Management.ManagementObject,,,,,"using ManagementObject isoObject = new(WmiScope, BuildIsoObjectPath(isoPath), null);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,87,12,"M:System.Management.ManagementObject.#ctor(System.String,System.String,System.Management.ObjectGetOptions)",,,,,"using ManagementObject isoObject = new(WmiScope, BuildIsoObjectPath(isoPath), null);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,37,20,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"driveLetter = item[""DriveLetter""].ToString()[0];"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,34,16,T:System.Management.ManagementObjectCollection,,,,,using ManagementObjectCollection queryCollection = query.Get();
